"표준코드","시설명","소재지","착공년도","준공년도","종별","구분","유역면적","홍수면적","만수면적","수혜면적","한발빈도","홍수빈도","제체형식","제체체적","제체길이","제체높이","총저수량","유효저수량","사수량","취수형식","홍수위","만수위","사수위"
"4784010100","성주","경상북도 성주군 가천면 중산리","1987-12-18","1997-12-31","1","주수원","14960","213","205","3217","10","200","필댐(죤형)","1638000","430","64","38240","28150","10090","취수탑형","192","185","162"
"4784010138","봉학","경상북도 성주군 벽진면 봉학리","1982-11-30","1990-01-24","1","주수원","1750","37","35","319","10","200","필댐(죤형)","1049954","253","42","4613","4515","97","취수탑형","151","151","127"
"4784010141","자산","경상북도 성주군 벽진면 자산리","1942-02-20","1944-12-30","1","주수원","650","18","16","115","10","200","필댐(죤형)","48450","190","10","527","527","0","사통형","84","83","76"
"4784010168","소성","경상북도 성주군 초전면 소성리","1969-01-31","1975-01-01","1","주수원","952","20","15","315","10","200","필댐(죤형)","240620","240","21","1394","1280","114","사통형","179","178","164"
"4784010173","월곡","경상북도 성주군 초전면 동포리","1986-01-02","1994-01-01","1","보조수원","580","9","8","82","10","200","필댐(죤형)","71920","137","22","558","555","3","사통형","95","94","80"
"4784010174","인촌","경상북도 성주군 월항면 인촌리","2000-11-27","2008-12-31","1","주수원","475","12","11","92","10","200","필댐(코어형)","619680","243","50","1488","1336","152","취수탑형","173","172","146"
"4785010003","매원","경상북도 칠곡군 왜관읍 매원리","1952-04-10","1956-12-30","1","주수원","728","17","17","127","10","100","필댐(죤형)","40200","300","14","735","735","0","사통형","63","62","53"
"4785010022","숙적","경상북도 칠곡군 지천면 신리","1930-01-01","1930-12-01","2","보조수원","75","1","1","33","10","100","필댐(죤형)","7533","186","6","32","32","0","사통형","68","68","65"
"4785010034","하빈","경상북도 칠곡군 지천면 금호리","1943-01-20","1944-03-31","1","주수원","956","45","42","163","10","100","필댐(죤형)","66820","256","8","1512","1512","0","사통형","37","36","31"
"4785010043","지천","경상북도 칠곡군 지천면 창평리","1959-11-10","1965-12-31","1","주수원","1815","32","31","276","10","200","필댐(죤형)","55074","279","18","1978","1978","0","취수탑형","76","74","62"
"4785010044","창평","경상북도 칠곡군 지천면 창평리","1976-08-21","1979-07-18","2","주수원","240","6","6","42","10","100","필댐(죤형)","22720","200","18","249","249","0","사통형","124","123","112"
"4785010045","심천","경상북도 칠곡군 지천면 심천리","1945-02-01","1945-12-01","2","주수원","145","2","2","28","10","100","필댐(죤형)","3090","95","11","72","72","0","사통형","125","124","118"
"4785010065","달서","경상북도 칠곡군 지천면 황학리","1987-12-09","1995-05-30","1","주수원","250","7","7","51","10","100","필댐(죤형)","64680","196","40","736","736","0","사통형","329","328","303"
"4785010069","송산","경상북도 칠곡군 동명면 송산리","1945-01-31","1947-02-01","2","보조수원","65","3","2","12","10","100","필댐(죤형)","5872","100","15","23","23","0","사통형","129","128","124"
"4785010089","동명","경상북도 칠곡군 동명면 구덕리","1956-10-17","1961-11-30","1","주수원","2660","35","33","82","10","100","필댐(죤형)","67320","408","13","1451","1451","0","사통형","88","86","75"
"4785010093","봉림","경상북도 칠곡군 가산면 송학리","1945-02-01","1945-12-01","2","보조수원","130","2","2","13","10","100","필댐(죤형)","6048","90","15","103","103","0","사통형","159","159","147"
"4785010097","금화","경상북도 칠곡군 가산면 금화리","1978-08-10","1984-11-27","1","주수원","680","14","13","167","10","100","필댐(죤형)","18276","231","30","1139","1139","0","사통형","180","179","158"
"4785010106","천평","경상북도 칠곡군 가산면 금화리","1982-08-01","1984-11-27","2","보조수원","200","3","3","45","10","100","필댐(죤형)","32092","142","23","184","184","0","사통형","169","168","151"
"4785010109","석사","경상북도 칠곡군 가산면 학하리","1939-01-01","1939-12-28","2","보조수원","210","1","1","9","10","100","필댐(죤형)","1540","70","6","19","19","0","사통형","130","130","124"
"4785010113","후평","경상북도 칠곡군 가산면 학상리","1949-01-01","1951-01-01","2","보조수원","98","7","6","30","10","100","필댐(죤형)","6975","155","8","47","47","0","사통형","152","152","147"
"4785010114","오리","경상북도 칠곡군 가산면 학상리","1956-01-01","1958-01-01","2","보조수원","80","2","2","29","3","100","필댐(죤형)","2896","198","6","25","25","0","사통형","112","112","108"
"4785010126","봉학","경상북도 칠곡군 가산면 송학리","1972-11-23","1976-12-31","1","주수원","277","6","6","113","3","100","필댐(죤형)","42616","270","29","598","598","0","사통형","172","171","151"
"4785010128","유학","경상북도 칠곡군 석적읍 성곡리","1965-12-17","1969-12-31","1","주수원","425","8","8","24","10","100","필댐(죤형)","131043","160","21","499","499","0","사통형","144","143","128"
"4785010147","기곡","경상북도 칠곡군 북삼읍 율리","1963-01-01","1965-01-01","2","보조수원","24","0","0","7","10","100","필댐(죤형)","1200","60","5","3","3","0","사통형","79","78","76"
"4785010148","내율","경상북도 칠곡군 북삼읍 율리","1965-01-01","1968-01-01","2","보조수원","10","0","0","4","10","100","필댐(죤형)","1500","50","4","3","3","0","사통형","67","66","64"
"4785010149","배야곡","경상북도 칠곡군 북삼읍 율리","1968-01-01","1970-01-01","2","보조수원","15","0","0","4","10","100","필댐(죤형)","11392","100","6","10","10","0","사통형","70","69","67"
"4785010161","숭오","경상북도 칠곡군 북삼읍 인평리","1965-01-01","1967-01-01","2","보조수원","52","1","1","17","10","100","필댐(죤형)","2443","61","6","16","16","0","사통형","130","129","124"
"4785010162","작곡","경상북도 칠곡군 북삼읍 숭오리","1984-10-08","1985-12-26","2","보조수원","25","4","3","5","10","100","필댐(죤형)","20765","202","16","227","227","0","사통형","125","124","112"
"4785010165","인강","경상북도 칠곡군 북삼읍 인평리","1963-01-01","1964-01-01","2","보조수원","19","0","0","7","10","100","필댐(죤형)","2277","115","5","11","11","0","사통형","96","96","93"
