시도,시군,시설개수,유역면적(ha),수혜면적(ha),유효저수량(천세제곱미터),저수율(퍼센트),평년(퍼센트),대비(퍼센트),단계
경북,문경시,15,17018,4893,35401.7,90.8,81.2,111.9,정상
경북,경산시,26,17609,1730.1,18147.3,90.6,68.1,133.2,정상
경북,의성군,54,13587,3074.7,26963.3,83.2,56.5,147.2,정상
경북,청송군,38,12338,1266.15,12406.6,89.5,53.5,167.4,정상
경북,영양군,26,5297.4,1172.6,8987.5,95.3,74.9,127.2,정상
경북,영덕군,26,13594,2805.6,19887.7,97.7,70.5,138.6,정상
경북,청도군,20,7185,1959.1,16955.4,89.2,65.3,136.6,정상
경북,고령군,37,5755,950.98,8403,87.2,58.2,150,정상
경북,성주군,7,19487,4058.9,36430.2,87.3,67.1,130.1,정상
경북,칠곡군,33,10637,1402.9,10539.56,79.3,80.3,98.8,정상
경북,예천군,44,6835.4,1137.97,9231.38,85.4,72,118.6,정상
경북,봉화군,6,6566,941.6,12391.89,99.4,54.6,181.9,정상
경북,울진군,7,11247,691.9,6600.1,88.6,69,128.4,정상
경북,울릉군,0,0,0,0,0,0,100,정상
경남,창원시,15,13191,2740.7,15876.6,70.6,61.8,114.3,정상
경남,진주시,39,6576.3,2004.2,18913.6,89.6,67.4,133,정상
경남,통영시,3,752,162,737.2,89.6,76.7,116.9,정상
경남,사천시,69,12364,2451.9,20878.4,90,76,118.5,정상
경남,김해시,6,802,241.8,2290.7,99.2,56.3,176.3,정상
경남,밀양시,39,13223,3000.6,16249.3,90.1,70.3,128.1,정상
경남,거제시,7,3665,583,2353.1,94.9,78.7,120.7,정상
경남,양산시,3,1553,340.55,970.1,86.4,87.6,98.7,정상
경남,의령군,40,8992.3,2034.8,16942.8,96.8,74.2,130.5,정상
경남,함안군,16,5474.3,1319.4,6083.3,79.7,67.2,118.6,정상
경남,창녕군,47,15644.5,2139.6,12318.5,79.6,69.7,114.2,정상
경남,고성군,36,10576,2945.3,19384.5,86.2,73.3,117.6,정상
경남,남해군,49,5561.6,1570.39,10202.3,86.7,73.2,118.5,정상
경남,하동군,22,11979.1,4402.33,41073.4,81.2,68.2,119.2,정상
경남,산청군,37,18078.1,2084.7,19851.39,87.7,81.5,107.6,정상
경남,함양군,13,9760,1886.4,13498.7,99.6,58.9,169,정상
경남,거창군,43,11986,3194.5,21403.5,90.1,66.6,135.3,정상
경남,합천군,83,10577,2272.4,17914.3,91.2,73.6,123.9,정상
제주,제주시,8,4581,1778.4,1616,43,56.7,75.8,정상
제주,서귀포시,1,9937,543,1050,30.9,69.7,44.3,경계
