sigungu,well_count,groundwater_well_count,drilling_developed_well_count,unknown_well_count,total_pump_capacity,pump_capacity_valid_count,well_depth_sum,well_depth_valid_count,public_like_well_count,record_used_count,source_zip,source_type,year,snapshot_score,avg_pump_capacity,avg_well_depth,well_count_index,pump_capacity_index,well_support_score,well_shortage_score,well_support_level
공주시,432,0,432,0,0.0,0,0.0,0,0,432,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,73.67491166077738,50.0,64.20494699646642,35.79505300353358,높음
보령시,260,0,260,0,0.0,0,0.0,0,0,260,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,43.28621908127209,50.0,45.97173144876325,54.02826855123675,보통
아산시,243,0,243,0,0.0,0,0.0,0,0,243,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,40.282685512367486,50.0,44.169611307420496,55.830388692579504,보통
서산시,332,0,332,0,0.0,0,0.0,0,0,332,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,56.00706713780919,50.0,53.60424028268551,46.39575971731449,보통
논산시,201,0,201,0,0.0,0,0.0,0,0,201,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,32.86219081272085,50.0,39.71731448763251,60.28268551236749,보통
계룡시,15,0,15,0,0.0,0,0.0,0,0,15,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,0.0,50.0,20.0,80.0,낮음
당진시,167,0,167,0,0.0,0,0.0,0,0,167,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,26.855123674911663,50.0,36.113074204947,63.886925795053,낮음
금산군,235,0,235,0,0.0,0,0.0,0,0,235,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,38.869257950530034,50.0,43.321554770318016,56.678445229681984,보통
부여군,275,0,275,0,0.0,0,0.0,0,0,275,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,45.936395759717314,50.0,47.56183745583039,52.438162544169614,보통
서천군,154,0,154,0,0.0,0,0.0,0,0,154,한국농어촌공사_시추개발관정_2023.zip,drilling_developed_well,2023,20230101,,,24.558303886925795,50.0,34.734982332155475,65.26501766784452,낮음
