sigungu,source_zip,source_type,source_dbf,well_id,pnu,si_do,si_gun_gu,address,well_use,well_depth,pump_capacity,public_private,dev_date,year,snapshot_score
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400081,4415025024102130004,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400070,4415025024102010000,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502400143,4415025024106600000,충청남도,공주시,충청남도 공주시 유구읍 유구리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600314,4415025026103640001,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600149,4415025026107000000,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600116,4415025026107350000,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600361,4415025026103720001,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600356,4415025026104940009,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600362,4415025026103620001,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
공주시,gdb_well_info_new_20231231.zip,groundwater_well,gdb_well_info_new.dbf,441502502600239,4415025026106740004,충청남도,공주시,충청남도 공주시 유구읍 신영리,3.0,30.0,,2.0,,2023,20231231
