date,sigungu,avg_reservoir_rate,min_reservoir_rate,max_reservoir_rate,reservoir_count,low_reservoir_count_40,low_reservoir_count_30,total_effective_capacity,reservoir_risk_score,risk_level_by_reservoir
2021-01-09,보령시,88.39333333333335,39.5,100.0,30,1,0,30030.0,11.606666666666655,낮음
2021-01-09,부여군,93.94,81.7,100.0,10,0,0,20966.0,6.060000000000002,낮음
2021-01-09,서산시,91.56875,71.5,100.0,16,0,0,28672.0,8.431250000000006,낮음
2021-01-09,서천군,94.81428571428572,67.1,100.0,7,0,0,25398.0,5.185714285714283,낮음
2021-01-09,아산시,98.69444444444444,90.5,100.0,18,0,0,25790.0,1.3055555555555571,낮음
2021-01-09,예산군,94.46153846153847,82.1,100.0,13,0,0,59875.0,5.538461538461533,낮음
2021-01-09,천안시,86.17999999999999,31.3,100.0,20,1,0,11580.0,13.820000000000007,낮음
2021-01-09,청양군,97.95185185185184,82.1,100.0,27,0,0,23414.0,2.048148148148158,낮음
2021-01-09,태안군,91.26111111111112,73.8,100.0,18,0,0,8997.0,8.73888888888888,낮음
2021-01-09,홍성군,96.87777777777778,87.6,100.0,9,0,0,10429.0,3.12222222222222,낮음
2021-01-10,공주시,93.64166666666667,63.8,100.0,12,0,0,19351.0,6.358333333333334,낮음
2021-01-10,금산군,67.34444444444445,0.0,100.0,9,2,2,5557.0,32.65555555555555,낮음
2021-01-10,논산시,92.47692307692309,83.7,100.0,26,0,0,38123.0,7.523076923076914,낮음
2021-01-10,당진시,75.78,16.7,100.0,10,1,1,5582.0,24.22,낮음
2021-01-10,보령시,88.39666666666668,39.5,100.0,30,1,0,30030.0,11.603333333333325,낮음
2021-01-10,부여군,93.96000000000001,81.5,100.0,10,0,0,20966.0,6.039999999999992,낮음
2021-01-10,서산시,91.5625,71.5,100.0,16,0,0,28672.0,8.4375,낮음
2021-01-10,서천군,94.78571428571429,67.1,100.0,7,0,0,25398.0,5.214285714285708,낮음
2021-01-10,아산시,98.6888888888889,90.3,100.0,18,0,0,25790.0,1.311111111111103,낮음
2021-01-10,예산군,94.20769230769231,82.1,100.0,13,0,0,59875.0,5.792307692307688,낮음
2021-01-10,천안시,86.10499999999999,31.3,100.0,20,1,0,11580.0,13.89500000000001,낮음
2021-01-10,청양군,97.94444444444444,82.1,100.0,27,0,0,23414.0,2.055555555555557,낮음
2021-01-10,태안군,91.22222222222223,73.8,100.0,18,0,0,8997.0,8.777777777777771,낮음
2021-01-10,홍성군,96.87777777777778,87.6,100.0,9,0,0,10429.0,3.12222222222222,낮음
2021-01-11,공주시,93.65833333333335,64.0,100.0,12,0,0,19351.0,6.341666666666654,낮음
2021-01-11,금산군,67.35555555555555,0.0,100.0,9,2,2,5557.0,32.644444444444446,낮음
2021-01-11,논산시,92.48846153846154,83.6,100.0,26,0,0,38123.0,7.511538461538464,낮음
2021-01-11,당진시,75.82000000000001,16.8,100.0,10,1,1,5582.0,24.179999999999993,낮음
2021-01-11,보령시,88.42,39.5,100.0,30,1,0,30030.0,11.579999999999998,낮음
2021-01-11,부여군,93.9,81.4,100.0,10,0,0,20966.0,6.099999999999994,낮음
2021-01-11,서산시,91.60625,71.5,100.0,16,0,0,28672.0,8.393749999999997,낮음
2021-01-11,서천군,94.77142857142857,67.1,100.0,7,0,0,25398.0,5.228571428571428,낮음
2021-01-11,아산시,98.67777777777778,90.1,100.0,18,0,0,25790.0,1.3222222222222229,낮음
2021-01-11,예산군,93.96153846153847,82.2,100.0,13,0,0,59875.0,6.038461538461533,낮음
2021-01-11,천안시,86.035,31.4,100.0,20,1,0,11580.0,13.965000000000003,낮음
2021-01-11,청양군,97.93703703703704,82.2,100.0,27,0,0,23414.0,2.0629629629629562,낮음
2021-01-11,태안군,91.18333333333334,73.8,100.0,18,0,0,8997.0,8.816666666666663,낮음
2021-01-11,홍성군,96.91111111111111,87.6,100.0,9,0,0,10429.0,3.0888888888888886,낮음
2021-01-12,공주시,93.75,64.3,100.0,12,0,0,19351.0,6.25,낮음
2021-01-12,금산군,67.35555555555555,0.0,100.0,9,2,2,5557.0,32.644444444444446,낮음
2021-01-12,논산시,92.50384615384615,83.6,100.0,26,0,0,38123.0,7.496153846153845,낮음
2021-01-12,당진시,75.83,16.9,100.0,10,1,1,5582.0,24.17,낮음
2021-01-12,보령시,88.47333333333333,39.5,100.0,30,1,0,30030.0,11.52666666666667,낮음
2021-01-12,부여군,93.82000000000001,81.4,100.0,10,0,0,20966.0,6.179999999999993,낮음
2021-01-12,서산시,91.70625,71.7,100.0,16,0,0,28672.0,8.293750000000003,낮음
2021-01-12,서천군,94.8,67.1,100.0,7,0,0,25398.0,5.200000000000003,낮음
2021-01-12,아산시,98.66666666666667,90.1,100.0,18,0,0,25790.0,1.3333333333333286,낮음
2021-01-12,예산군,94.13076923076923,82.3,100.0,13,0,0,59875.0,5.869230769230768,낮음
2021-01-12,천안시,86.07000000000001,31.5,100.0,20,1,0,11580.0,13.929999999999993,낮음
2021-01-12,청양군,97.93333333333332,82.3,100.0,27,0,0,23414.0,2.066666666666677,낮음
2021-01-12,태안군,91.16111111111111,73.8,100.0,18,0,0,8997.0,8.838888888888889,낮음
2021-01-12,홍성군,96.94444444444444,87.6,100.0,9,0,0,10429.0,3.055555555555557,낮음
2021-01-13,공주시,93.81666666666666,64.5,100.0,12,0,0,19351.0,6.183333333333337,낮음
2021-01-13,금산군,67.32222222222222,0.0,100.0,9,2,2,5557.0,32.67777777777778,낮음
2021-01-13,논산시,92.53461538461539,83.6,100.0,26,0,0,38123.0,7.4653846153846075,낮음
2021-01-13,당진시,75.84,17.0,100.0,10,1,1,5582.0,24.159999999999997,낮음
2021-01-13,보령시,88.51333333333334,39.5,100.0,30,1,0,30030.0,11.486666666666665,낮음
2021-01-13,부여군,93.88,81.4,100.0,10,0,0,20966.0,6.1200000000000045,낮음
2021-01-13,서산시,91.8,71.9,100.0,16,0,0,28672.0,8.200000000000003,낮음
2021-01-13,서천군,94.89999999999999,67.1,100.0,7,0,0,25398.0,5.1000000000000085,낮음
2021-01-13,아산시,98.61666666666666,90.1,100.0,18,0,0,25790.0,1.38333333333334,낮음
2021-01-13,예산군,94.4,82.4,100.0,13,0,0,59875.0,5.599999999999994,낮음
2021-01-13,천안시,86.14,31.4,100.0,20,1,0,11580.0,13.86,낮음
2021-01-13,청양군,97.94074074074075,82.4,100.0,27,0,0,23414.0,2.0592592592592496,낮음
2021-01-13,태안군,91.15,73.8,100.0,18,0,0,8997.0,8.849999999999994,낮음
2021-01-13,홍성군,96.88888888888889,87.6,100.0,9,0,0,10429.0,3.1111111111111143,낮음
2021-01-14,공주시,93.86666666666667,64.6,100.0,12,0,0,19351.0,6.133333333333326,낮음
2021-01-14,금산군,67.36666666666666,0.0,100.0,9,2,2,5557.0,32.63333333333334,낮음
2021-01-14,논산시,92.57307692307693,83.5,100.0,26,0,0,38123.0,7.4269230769230745,낮음
2021-01-14,당진시,75.94,17.2,100.0,10,1,1,5582.0,24.060000000000002,낮음
2021-01-14,보령시,88.53333333333333,39.5,100.0,30,1,0,30030.0,11.466666666666669,낮음
2021-01-14,부여군,93.97,81.4,100.0,10,0,0,20966.0,6.030000000000001,낮음
2021-01-14,서산시,91.83125,72.0,100.0,16,0,0,28672.0,8.168750000000003,낮음
2021-01-14,서천군,95.08571428571429,67.1,100.0,7,0,0,25398.0,4.914285714285711,낮음
2021-01-14,아산시,98.57777777777778,90.1,100.0,18,0,0,25790.0,1.4222222222222172,낮음
2021-01-14,예산군,94.56923076923077,82.4,100.0,13,0,0,59875.0,5.430769230769229,낮음
2021-01-14,천안시,86.3,31.2,100.0,20,1,0,11580.0,13.700000000000003,낮음
2021-01-14,청양군,97.94444444444444,82.5,100.0,27,0,0,23414.0,2.055555555555557,낮음
2021-01-14,태안군,91.16666666666667,73.8,100.0,18,0,0,8997.0,8.833333333333329,낮음
2021-01-14,홍성군,96.82222222222222,87.7,100.0,9,0,0,10429.0,3.177777777777777,낮음
2021-01-15,공주시,93.89999999999999,64.6,100.0,12,0,0,19351.0,6.1000000000000085,낮음
2021-01-15,금산군,67.37777777777778,0.0,100.0,9,2,2,5557.0,32.62222222222222,낮음
2021-01-15,논산시,92.60384615384615,83.4,100.0,26,0,0,38123.0,7.396153846153851,낮음
2021-01-15,당진시,76.03999999999999,17.4,100.0,10,1,1,5582.0,23.960000000000008,낮음
2021-01-15,보령시,88.53333333333333,39.1,100.0,30,1,0,30030.0,11.466666666666669,낮음
2021-01-15,부여군,94.02000000000001,81.4,100.0,10,0,0,20966.0,5.97999999999999,낮음
2021-01-15,서산시,91.8375,72.1,100.0,16,0,0,28672.0,8.162499999999994,낮음
2021-01-15,서천군,95.2,67.1,100.0,7,0,0,25398.0,4.799999999999997,낮음
2021-01-15,아산시,98.62222222222222,90.1,100.0,18,0,0,25790.0,1.37777777777778,낮음
2021-01-15,예산군,94.56923076923077,82.4,100.0,13,0,0,59875.0,5.430769230769229,낮음
2021-01-15,천안시,86.51,31.1,100.0,20,1,0,11580.0,13.489999999999995,낮음
2021-01-15,청양군,97.94814814814815,82.5,100.0,27,0,0,23414.0,2.0518518518518505,낮음
2021-01-15,태안군,91.18888888888888,73.8,100.0,18,0,0,8997.0,8.811111111111117,낮음
2021-01-15,홍성군,96.83333333333333,87.7,100.0,9,0,0,10429.0,3.1666666666666714,낮음
2021-01-16,공주시,93.93333333333334,64.6,100.0,12,0,0,19351.0,6.066666666666663,낮음
2021-01-16,금산군,67.37777777777778,0.0,100.0,9,2,2,5557.0,32.62222222222222,낮음
2021-01-16,논산시,92.63846153846154,83.5,100.0,26,0,0,38123.0,7.3615384615384585,낮음
2021-01-16,당진시,76.05,17.5,100.0,10,1,1,5582.0,23.950000000000003,낮음
2021-01-16,보령시,88.52666666666667,38.4,100.0,30,1,0,30030.0,11.47333333333333,낮음
2021-01-16,부여군,94.03999999999999,81.4,100.0,10,0,0,20966.0,5.960000000000008,낮음
2021-01-16,서산시,91.86875,72.2,100.0,16,0,0,28672.0,8.131249999999994,낮음
2021-01-16,서천군,95.18571428571428,67.1,100.0,7,0,0,25398.0,4.814285714285717,낮음
2021-01-16,아산시,98.66111111111111,90.1,100.0,18,0,0,25790.0,1.3388888888888886,낮음
2021-01-16,예산군,94.56153846153846,82.4,100.0,13,0,0,59875.0,5.438461538461539,낮음
2021-01-16,천안시,86.685,31.8,100.0,20,1,0,11580.0,13.314999999999998,낮음
2021-01-16,청양군,97.95185185185184,82.5,100.0,27,0,0,23414.0,2.048148148148158,낮음
2021-01-16,태안군,91.19999999999999,73.8,100.0,18,0,0,8997.0,8.800000000000011,낮음
2021-01-16,홍성군,96.84444444444445,87.7,100.0,9,0,0,10429.0,3.1555555555555515,낮음
2021-01-17,공주시,94.0,65.0,100.0,12,0,0,19351.0,6.0,낮음
2021-01-17,금산군,67.37777777777778,0.0,100.0,9,2,2,5557.0,32.62222222222222,낮음
2021-01-17,논산시,92.66923076923078,83.5,100.0,26,0,0,38123.0,7.330769230769221,낮음
2021-01-17,당진시,76.06,17.6,100.0,10,1,1,5582.0,23.939999999999998,낮음
2021-01-17,보령시,88.55333333333333,38.0,100.0,30,1,0,30030.0,11.446666666666673,낮음
2021-01-17,부여군,94.05,81.4,100.0,10,0,0,20966.0,5.950000000000003,낮음
2021-01-17,서산시,91.91875,72.2,100.0,16,0,0,28672.0,8.081249999999997,낮음
2021-01-17,서천군,95.2,67.1,100.0,7,0,0,25398.0,4.799999999999997,낮음
2021-01-17,아산시,98.66111111111111,90.1,100.0,18,0,0,25790.0,1.3388888888888886,낮음
2021-01-17,예산군,94.56153846153846,82.4,100.0,13,0,0,59875.0,5.438461538461539,낮음
2021-01-17,천안시,86.87,33.1,100.0,20,1,0,11580.0,13.129999999999995,낮음
2021-01-17,청양군,97.95185185185184,82.4,100.0,27,0,0,23414.0,2.048148148148158,낮음
2021-01-17,태안군,91.21666666666667,73.8,100.0,18,0,0,8997.0,8.783333333333331,낮음
2021-01-17,홍성군,96.88888888888889,87.7,100.0,9,0,0,10429.0,3.1111111111111143,낮음
2021-01-18,공주시,94.06666666666666,65.3,100.0,12,0,0,19351.0,5.933333333333337,낮음
2021-01-18,금산군,67.37777777777778,0.0,100.0,9,2,2,5557.0,32.62222222222222,낮음
2021-01-18,논산시,92.69615384615385,83.6,100.0,26,0,0,38123.0,7.303846153846152,낮음
2021-01-18,당진시,75.99,17.7,100.0,10,1,1,5582.0,24.010000000000005,낮음
2021-01-18,보령시,89.42,38.0,100.0,30,1,0,30030.0,10.579999999999998,낮음
2021-01-18,부여군,94.09,81.4,100.0,10,0,0,20966.0,5.909999999999997,낮음
2021-01-18,서산시,91.98125,72.3,100.0,16,0,0,28672.0,8.018749999999997,낮음
2021-01-18,서천군,95.18571428571428,67.1,100.0,7,0,0,25398.0,4.814285714285717,낮음
2021-01-18,아산시,98.66111111111111,90.1,100.0,18,0,0,25790.0,1.3388888888888886,낮음
2021-01-18,예산군,94.58461538461538,82.5,100.0,13,0,0,59875.0,5.415384615384625,낮음
2021-01-18,천안시,87.0,33.9,100.0,20,1,0,11580.0,13.0,낮음
2021-01-18,청양군,97.8037037037037,82.4,100.0,27,0,0,23414.0,2.196296296296296,낮음
2021-01-18,태안군,91.17777777777778,73.8,100.0,18,0,0,8997.0,8.822222222222223,낮음
2021-01-18,홍성군,96.9,87.7,100.0,9,0,0,10429.0,3.0999999999999943,낮음
2021-01-19,공주시,94.11666666666667,65.3,100.0,12,0,0,19351.0,5.883333333333326,낮음
2021-01-19,금산군,67.38888888888889,0.0,100.0,9,2,2,5557.0,32.611111111111114,낮음
2021-01-19,논산시,92.70769230769231,83.6,100.0,26,0,0,38123.0,7.292307692307688,낮음
2021-01-19,당진시,75.92999999999999,17.9,100.0,10,1,1,5582.0,24.070000000000007,낮음
2021-01-19,보령시,90.97666666666667,38.0,100.0,30,1,0,30030.0,9.023333333333326,낮음
2021-01-19,부여군,94.34,81.4,100.0,10,0,0,20966.0,5.659999999999997,낮음
2021-01-19,서산시,91.99375,72.3,100.0,16,0,0,28672.0,8.006249999999994,낮음
2021-01-19,서천군,95.18571428571428,67.1,100.0,7,0,0,25398.0,4.814285714285717,낮음
2021-01-19,아산시,98.66666666666667,90.1,100.0,18,0,0,25790.0,1.3333333333333286,낮음
2021-01-19,예산군,94.63076923076923,82.7,100.0,13,0,0,59875.0,5.369230769230768,낮음
