date,sigungu,drought_stage_score,avg_reservoir_rate_from_drought,avg_normal_rate,avg_normal_ratio,normal_ratio_deficit_score,avg_rainfall,record_count,reservoir_rate_risk_from_drought,weather_drought_risk_score,weather_drought_level
2022-12-05,금산군,0,,,,,,1,,0.0,낮음
2022-12-05,논산시,0,,,,,,1,,0.0,낮음
2022-12-05,당진시,0,,,,,,1,,0.0,낮음
2022-12-05,보령시,0,,,,,,1,,0.0,낮음
2022-12-05,부여군,0,,,,,,1,,0.0,낮음
2022-12-05,서산시,0,,,,,,1,,0.0,낮음
2022-12-05,서천군,0,,,,,,1,,0.0,낮음
2022-12-05,아산시,0,,,,,,1,,0.0,낮음
2022-12-05,예산군,0,,,,,,1,,0.0,낮음
2022-12-05,천안시,0,,,,,,1,,0.0,낮음
2022-12-05,청양군,0,,,,,,1,,0.0,낮음
2022-12-05,태안군,0,,,,,,1,,0.0,낮음
2022-12-05,홍성군,0,,,,,,1,,0.0,낮음
2023-01-01,계룡시,0,74.5,78.5,94.9,5.099999999999994,,1,25.5,10.199999999999998,낮음
2023-01-01,공주시,0,94.4,71.8,131.4,0.0,,1,5.599999999999994,1.8666666666666647,낮음
2023-01-01,금산군,0,88.4,71.1,124.3,0.0,,1,11.599999999999994,3.866666666666665,낮음
2023-01-01,논산시,0,90.7,79.3,114.4,0.0,,1,9.299999999999997,3.099999999999999,낮음
2023-01-01,당진시,0,74.9,80.7,92.9,7.099999999999994,,1,25.099999999999994,10.733333333333329,낮음
2023-01-01,보령시,0,91.0,80.7,112.8,0.0,,1,9.0,3.0,낮음
2023-01-01,부여군,0,95.3,74.4,128.1,0.0,,1,4.700000000000003,1.5666666666666675,낮음
2023-01-01,서산시,0,94.9,81.7,116.3,0.0,,1,5.099999999999994,1.6999999999999982,낮음
2023-01-01,서천군,0,91.3,79.5,114.8,0.0,,1,8.700000000000003,2.900000000000001,낮음
2023-01-01,아산시,0,98.0,85.1,115.2,0.0,,1,2.0,0.6666666666666666,낮음
2023-01-01,예산군,0,98.6,84.8,116.3,0.0,,1,1.4000000000000057,0.46666666666666856,낮음
2023-01-01,천안시,0,93.9,81.8,114.7,0.0,,1,6.099999999999994,2.0333333333333314,낮음
2023-01-01,청양군,0,97.6,79.6,122.5,0.0,,1,2.4000000000000057,0.8000000000000019,낮음
2023-01-01,태안군,0,93.0,86.5,107.5,0.0,,1,7.0,2.3333333333333335,낮음
2023-01-01,홍성군,0,92.2,79.1,116.6,0.0,,1,7.799999999999997,2.599999999999999,낮음
2023-01-02,계룡시,0,74.5,78.5,94.9,5.099999999999994,,2,25.5,10.199999999999998,낮음
2023-01-02,공주시,0,94.5,71.9,131.5,0.0,,2,5.5,1.8333333333333333,낮음
2023-01-02,금산군,0,88.5,71.1,124.5,0.0,,2,11.5,3.8333333333333335,낮음
2023-01-02,논산시,0,91.2,79.4,114.9,0.0,,2,8.799999999999997,2.9333333333333322,낮음
2023-01-02,당진시,0,75.1,80.7,93.0,7.0,,2,24.900000000000006,10.633333333333335,낮음
2023-01-02,보령시,0,91.3,80.7,113.1,0.0,,2,8.700000000000003,2.900000000000001,낮음
2023-01-02,부여군,0,95.7,74.4,128.6,0.0,,2,4.299999999999997,1.4333333333333325,낮음
2023-01-02,서산시,0,95.1,81.7,116.4,0.0,,2,4.900000000000006,1.6333333333333353,낮음
2023-01-02,서천군,0,91.5,79.6,114.9,0.0,,2,8.5,2.8333333333333335,낮음
2023-01-02,아산시,0,98.1,85.2,115.2,0.0,,2,1.9000000000000057,0.6333333333333352,낮음
2023-01-02,예산군,0,98.6,85.0,116.0,0.0,,2,1.4000000000000057,0.46666666666666856,낮음
2023-01-02,천안시,0,93.9,81.9,114.7,0.0,,2,6.099999999999994,2.0333333333333314,낮음
2023-01-02,청양군,0,97.6,79.7,122.5,0.0,,2,2.4000000000000057,0.8000000000000019,낮음
2023-01-02,태안군,0,93.0,86.5,107.5,0.0,,2,7.0,2.3333333333333335,낮음
2023-01-02,홍성군,0,92.4,79.2,116.8,0.0,,2,7.599999999999994,2.5333333333333314,낮음
2023-01-03,계룡시,0,96.0,100.0,96.0,4.0,,1,4.0,2.6666666666666665,낮음
2023-01-03,공주시,0,94.1,71.3,132.0,0.0,,1,5.900000000000006,1.9666666666666686,낮음
2023-01-03,금산군,0,88.6,71.1,124.5,0.0,,1,11.400000000000006,3.800000000000002,낮음
