category_code,category_name,relative_path,file_name,extension,size_mb,modified_time,preview_info,columns_preview,zip_file_count,zip_preview,error
01_reservoir,① 농업용저수지 수위조회,data\raw\01_reservoir\한국농어촌공사_전국 저수지 일별 저수율\한국농어촌공사_전국 저수지 일별 저수율_20251231.csv,한국농어촌공사_전국 저수지 일별 저수율_20251231.csv,.csv,5.191,2026-05-27 20:27:04,utf-8-sig,저수지명 | 위치 | 유효저수량 | 2025-01-01 | 2025-01-02 | 2025-01-03 | 2025-01-04 | 2025-01-05 | 2025-01-06 | 2025-01-07 | 2025-01-08 | 2025-01-09 | 2025-01-10 | 2025-01-11 | 2025-01-12 | 2025-01-13 | 2025-01-14 | 2025-01-15 | 2025-01-16 | 2025-01-17 | 2025-01-18 | 2025-01-19 | 2025-01-20 | 2025-01-21 | 2025-01-22 | 2025-01-23 | 2025-01-24 | 2025-01-25 | 2025-01-26 | 2025-01-27 | 2025-01-28 | 2025-01-29 | 2025-01-30 | 2025-01-31 | 2025-02-01 | 2025-02-02 | 2025-02-03 | 2025-02-04 | 2025-02-05 | 2025-02-06,,,
02_well,② 관정현황,data\raw\02_well\한국농어촌공사 시추개발관정\한국농어촌공사 시추개발 관정 데이터_2021.zip,한국농어촌공사 시추개발 관정 데이터_2021.zip,.zip,1.208,2026-05-27 20:27:04,zip,,6,gdb_agri_plan_result_new_2021.cpg; gdb_agri_plan_result_new_2021.dbf; gdb_agri_plan_result_new_2021.prj; gdb_agri_plan_result_new_2021.qpj; gdb_agri_plan_result_new_2021.shp; gdb_agri_plan_result_new_2021.shx,
02_well,② 관정현황,data\raw\02_well\한국농어촌공사 시추개발관정\한국농어촌공사_시추개발관정_2023.zip,한국농어촌공사_시추개발관정_2023.zip,.zip,1.222,2026-05-27 20:27:04,zip,,6,gdb_agri_plan_result_new_2023.cpg; gdb_agri_plan_result_new_2023.dbf; gdb_agri_plan_result_new_2023.prj; gdb_agri_plan_result_new_2023.qmd; gdb_agri_plan_result_new_2023.shp; gdb_agri_plan_result_new_2023.shx,
02_well,② 관정현황,data\raw\02_well\한국농어촌공사 시추개발관정\한국농어촌공사_시추개발관정_2024.zip,한국농어촌공사_시추개발관정_2024.zip,.zip,1.239,2026-05-27 20:27:04,zip,,6,gdb_agri_plan_result_new_2024.cpg; gdb_agri_plan_result_new_2024.dbf; gdb_agri_plan_result_new_2024.prj; gdb_agri_plan_result_new_2024.qmd; gdb_agri_plan_result_new_2024.shp; gdb_agri_plan_result_new_2024.shx,
02_well,② 관정현황,data\raw\02_well\한국농어촌공사 시추개발관정\한국농어촌공사_시추개발관정_2025.zip,한국농어촌공사_시추개발관정_2025.zip,.zip,1.251,2026-05-27 20:27:04,zip,,6,gdb_agri_plan_result_new_2025.cpg; gdb_agri_plan_result_new_2025.dbf; gdb_agri_plan_result_new_2025.prj; gdb_agri_plan_result_new_2025.qmd; gdb_agri_plan_result_new_2025.shp; gdb_agri_plan_result_new_2025.shx,
02_well,② 관정현황,data\raw\02_well\한국농어촌공사 지하수 관정현황\gdb_well_info_new_20231231.zip,gdb_well_info_new_20231231.zip,.zip,65.191,2026-05-27 20:27:05,zip,,7,gdb_well_info_new.cpg; gdb_well_info_new.dbf; gdb_well_info_new.prj; gdb_well_info_new.qmd; gdb_well_info_new.shp; gdb_well_info_new.shx; gdb_well_info_new_─├╖│╝│╕φ.xlsx,
02_well,② 관정현황,data\raw\02_well\한국농어촌공사 지하수 관정현황\gdb_well_info_new_2024.zip,gdb_well_info_new_2024.zip,.zip,65.153,2026-05-27 20:27:05,zip,,7,gdb_well_info_new_2024.cpg; gdb_well_info_new_2024.dbf; gdb_well_info_new_2024.prj; gdb_well_info_new_2024.qmd; gdb_well_info_new_2024.shp; gdb_well_info_new_2024.shx; gdb_well_info_new_─├╖│╝│╕φ.xlsx,
02_well,② 관정현황,data\raw\02_well\한국농어촌공사 지하수 관정현황\지하수 관정현황_컬럼정의서포함20200928.zip,지하수 관정현황_컬럼정의서포함20200928.zip,.zip,66.744,2026-05-27 20:27:05,zip,,5,gdb_well_info_new.dbf; gdb_well_info_new.prj; gdb_well_info_new.shp; gdb_well_info_new.shx; gdb_well_info_new_─├╖│╝│╕φ_230825.xlsx,
02_well,② 관정현황,data\raw\02_well\한국농어촌공사 지하수 관정현황\한국농어촌공사_지하수 관정현황_20241231.zip,한국농어촌공사_지하수 관정현황_20241231.zip,.zip,53.075,2026-05-27 20:27:04,zip,,7,gdb_well_info_new_2025.cpg; gdb_well_info_new_2025.dbf; gdb_well_info_new_2025.prj; gdb_well_info_new_2025.qmd; gdb_well_info_new_2025.shp; gdb_well_info_new_2025.shx; gdb_well_info_new_─├╖│╝│╕φ.xlsx,
03_crop,③ 재배작물별 농가현황,data\raw\03_crop\시군별 논벼 생산량-KOSIS 농업면적조사\KOSIS 농업면적조사-시군별_논벼_생산량_정곡_2018~2026.xlsx,KOSIS 농업면적조사-시군별_논벼_생산량_정곡_2018~2026.xlsx,.xlsx,0.027,2026-05-27 20:27:04,데이터,행정구역별(1) | 행정구역별(2) | 2018 | 2018.1 | 2018.2 | 2019 | 2019.1 | 2019.2 | 2020 | 2020.1 | 2020.2 | 2021 | 2021.1 | 2021.2 | 2022 | 2022.1 | 2022.2 | 2023 | 2023.1 | 2023.2 | 2024 | 2024.1 | 2024.2 | 2025 | 2025.1 | 2025.2,,,
